12:19:12.593 [AWT-EventQueue-0] INFO  c.b.actions.DisableBrowserStack - Setting disable browserstack run update
12:19:12.594 [AWT-EventQueue-0] INFO  com.browserstack.utils.Helpers - /Users/raramuri/.m2/repository/com/browserstack/browserstack-java-sdk/1.14.0/browserstack-java-sdk-1.14.0.jar
12:19:12.594 [AWT-EventQueue-0] INFO  com.browserstack.utils.Helpers - null
12:19:12.659 [AWT-EventQueue-0] INFO  c.b.actions.EnableBrowserStack - Setting enable browserstack run update
12:19:12.660 [AWT-EventQueue-0] INFO  com.browserstack.utils.Helpers - /Users/raramuri/.m2/repository/com/browserstack/browserstack-java-sdk/1.14.0/browserstack-java-sdk-1.14.0.jar
12:19:12.660 [AWT-EventQueue-0] INFO  com.browserstack.utils.Helpers - null
12:19:45.023 [AWT-EventQueue-0] INFO  c.b.launchers.LaunchMavenCommand - Integrate source: java:appium-intellij:v1.1.4
12:19:45.024 [AWT-EventQueue-0] INFO  c.b.launchers.LaunchMavenCommand - Executing maven archetype command - browserstack-sdk-archetype-integrate
12:19:45.106 [ApplicationImpl pooled thread 25] INFO  c.b.l.BrowserStackRunExtension - maven
12:19:45.106 [ApplicationImpl pooled thread 25] INFO  com.browserstack.utils.Helpers - null
12:20:05.206 [java] INFO  c.b.launchers.LaunchMavenCommand - Completed maven archetype command
12:21:30.888 [ApplicationImpl pooled thread 41] INFO  c.b.l.BrowserStackRunExtension - testng
12:21:30.888 [ApplicationImpl pooled thread 41] INFO  com.browserstack.utils.Helpers - true
12:21:30.889 [ApplicationImpl pooled thread 41] INFO  com.browserstack.utils.Helpers - /Users/raramuri/.m2/repository/com/browserstack/browserstack-java-sdk/1.14.0/browserstack-java-sdk-1.14.0.jar
12:21:30.889 [ApplicationImpl pooled thread 41] INFO  c.b.l.BrowserStackRunExtension - Agent path: /Users/raramuri/.m2/repository/com/browserstack/browserstack-java-sdk/1.14.0/browserstack-java-sdk-1.14.0.jar
12:21:30.889 [ApplicationImpl pooled thread 41] INFO  c.b.l.BrowserStackRunExtension - Plugin version: v1.1.4
12:26:31.240 [ApplicationImpl pooled thread 67] INFO  c.b.l.BrowserStackRunExtension - testng
12:26:31.240 [ApplicationImpl pooled thread 67] INFO  com.browserstack.utils.Helpers - true
12:26:31.241 [ApplicationImpl pooled thread 67] INFO  com.browserstack.utils.Helpers - /Users/raramuri/.m2/repository/com/browserstack/browserstack-java-sdk/1.14.0/browserstack-java-sdk-1.14.0.jar
12:26:31.241 [ApplicationImpl pooled thread 67] INFO  c.b.l.BrowserStackRunExtension - Agent path: /Users/raramuri/.m2/repository/com/browserstack/browserstack-java-sdk/1.14.0/browserstack-java-sdk-1.14.0.jar
12:26:31.241 [ApplicationImpl pooled thread 67] INFO  c.b.l.BrowserStackRunExtension - Plugin version: v1.1.4
12:40:11.597 [ApplicationImpl pooled thread 75] INFO  c.b.l.BrowserStackRunExtension - testng
12:40:11.598 [ApplicationImpl pooled thread 75] INFO  com.browserstack.utils.Helpers - true
12:40:11.599 [ApplicationImpl pooled thread 75] INFO  com.browserstack.utils.Helpers - /Users/raramuri/.m2/repository/com/browserstack/browserstack-java-sdk/1.14.0/browserstack-java-sdk-1.14.0.jar
12:40:11.599 [ApplicationImpl pooled thread 75] INFO  c.b.l.BrowserStackRunExtension - Agent path: /Users/raramuri/.m2/repository/com/browserstack/browserstack-java-sdk/1.14.0/browserstack-java-sdk-1.14.0.jar
12:40:11.599 [ApplicationImpl pooled thread 75] INFO  c.b.l.BrowserStackRunExtension - Plugin version: v1.1.4
12:42:47.288 [ApplicationImpl pooled thread 12] INFO  c.b.l.BrowserStackRunExtension - testng
12:42:47.289 [ApplicationImpl pooled thread 12] INFO  com.browserstack.utils.Helpers - true
12:42:47.289 [ApplicationImpl pooled thread 12] INFO  com.browserstack.utils.Helpers - /Users/raramuri/.m2/repository/com/browserstack/browserstack-java-sdk/1.14.0/browserstack-java-sdk-1.14.0.jar
12:42:47.289 [ApplicationImpl pooled thread 12] INFO  c.b.l.BrowserStackRunExtension - Agent path: /Users/raramuri/.m2/repository/com/browserstack/browserstack-java-sdk/1.14.0/browserstack-java-sdk-1.14.0.jar
12:42:47.289 [ApplicationImpl pooled thread 12] INFO  c.b.l.BrowserStackRunExtension - Plugin version: v1.1.4
12:44:34.377 [ApplicationImpl pooled thread 27] INFO  c.b.l.BrowserStackRunExtension - testng
12:44:34.378 [ApplicationImpl pooled thread 27] INFO  com.browserstack.utils.Helpers - true
12:44:34.378 [ApplicationImpl pooled thread 27] INFO  com.browserstack.utils.Helpers - /Users/raramuri/.m2/repository/com/browserstack/browserstack-java-sdk/1.14.0/browserstack-java-sdk-1.14.0.jar
12:44:34.378 [ApplicationImpl pooled thread 27] INFO  c.b.l.BrowserStackRunExtension - Agent path: /Users/raramuri/.m2/repository/com/browserstack/browserstack-java-sdk/1.14.0/browserstack-java-sdk-1.14.0.jar
12:44:34.378 [ApplicationImpl pooled thread 27] INFO  c.b.l.BrowserStackRunExtension - Plugin version: v1.1.4
12:45:47.341 [ApplicationImpl pooled thread 27] INFO  c.b.l.BrowserStackRunExtension - testng
12:45:47.342 [ApplicationImpl pooled thread 27] INFO  com.browserstack.utils.Helpers - true
12:45:47.342 [ApplicationImpl pooled thread 27] INFO  com.browserstack.utils.Helpers - /Users/raramuri/.m2/repository/com/browserstack/browserstack-java-sdk/1.14.0/browserstack-java-sdk-1.14.0.jar
12:45:47.342 [ApplicationImpl pooled thread 27] INFO  c.b.l.BrowserStackRunExtension - Agent path: /Users/raramuri/.m2/repository/com/browserstack/browserstack-java-sdk/1.14.0/browserstack-java-sdk-1.14.0.jar
12:45:47.342 [ApplicationImpl pooled thread 27] INFO  c.b.l.BrowserStackRunExtension - Plugin version: v1.1.4
12:46:52.034 [ApplicationImpl pooled thread 27] INFO  c.b.l.BrowserStackRunExtension - testng
12:46:52.035 [ApplicationImpl pooled thread 27] INFO  com.browserstack.utils.Helpers - true
12:46:52.037 [ApplicationImpl pooled thread 27] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
13:06:06.508 [ApplicationImpl pooled thread 49] INFO  c.b.l.BrowserStackRunExtension - testng
13:06:06.509 [ApplicationImpl pooled thread 49] INFO  com.browserstack.utils.Helpers - true
13:06:06.510 [ApplicationImpl pooled thread 49] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
13:08:18.113 [ApplicationImpl pooled thread 56] INFO  c.b.l.BrowserStackRunExtension - testng
13:08:18.114 [ApplicationImpl pooled thread 56] INFO  com.browserstack.utils.Helpers - true
13:08:18.114 [ApplicationImpl pooled thread 56] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
13:09:11.851 [ApplicationImpl pooled thread 53] INFO  c.b.l.BrowserStackRunExtension - testng
13:09:11.853 [ApplicationImpl pooled thread 53] INFO  com.browserstack.utils.Helpers - true
13:09:11.853 [ApplicationImpl pooled thread 53] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
13:19:06.300 [ApplicationImpl pooled thread 54] INFO  c.b.l.BrowserStackRunExtension - testng
13:19:06.300 [ApplicationImpl pooled thread 54] INFO  com.browserstack.utils.Helpers - true
13:19:06.301 [ApplicationImpl pooled thread 54] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
13:20:08.914 [ApplicationImpl pooled thread 61] INFO  c.b.l.BrowserStackRunExtension - testng
13:20:08.915 [ApplicationImpl pooled thread 61] INFO  com.browserstack.utils.Helpers - true
13:20:08.916 [ApplicationImpl pooled thread 61] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
13:20:51.297 [ApplicationImpl pooled thread 58] INFO  c.b.l.BrowserStackRunExtension - testng
13:20:51.297 [ApplicationImpl pooled thread 58] INFO  com.browserstack.utils.Helpers - true
13:20:51.298 [ApplicationImpl pooled thread 58] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
13:25:26.595 [ApplicationImpl pooled thread 67] INFO  c.b.l.BrowserStackRunExtension - testng
13:25:26.595 [ApplicationImpl pooled thread 67] INFO  com.browserstack.utils.Helpers - true
13:25:26.596 [ApplicationImpl pooled thread 67] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
13:33:05.926 [ApplicationImpl pooled thread 72] INFO  c.b.l.BrowserStackRunExtension - testng
13:33:05.926 [ApplicationImpl pooled thread 72] INFO  com.browserstack.utils.Helpers - true
13:33:05.926 [ApplicationImpl pooled thread 72] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
13:35:17.507 [ApplicationImpl pooled thread 82] INFO  c.b.l.BrowserStackRunExtension - testng
13:35:17.507 [ApplicationImpl pooled thread 82] INFO  com.browserstack.utils.Helpers - true
13:35:17.508 [ApplicationImpl pooled thread 82] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
13:36:30.291 [ApplicationImpl pooled thread 83] INFO  c.b.l.BrowserStackRunExtension - testng
13:36:30.292 [ApplicationImpl pooled thread 83] INFO  com.browserstack.utils.Helpers - true
13:36:30.292 [ApplicationImpl pooled thread 83] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
13:42:21.982 [ApplicationImpl pooled thread 86] INFO  c.b.l.BrowserStackRunExtension - testng
13:42:21.983 [ApplicationImpl pooled thread 86] INFO  com.browserstack.utils.Helpers - true
13:42:21.984 [ApplicationImpl pooled thread 86] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
13:45:03.784 [ApplicationImpl pooled thread 73] INFO  c.b.l.BrowserStackRunExtension - testng
13:45:03.785 [ApplicationImpl pooled thread 73] INFO  com.browserstack.utils.Helpers - true
13:45:03.786 [ApplicationImpl pooled thread 73] INFO  c.b.l.BrowserStackRunExtension - Agent path: null
13:45:23.681 [ApplicationImpl pooled thread 91] INFO  c.b.l.BrowserStackRunExtension - testng
13:45:23.681 [ApplicationImpl pooled thread 91] INFO  com.browserstack.utils.Helpers - true
